To,Location
SOMASUB, PIN_L2
CLEAR, PIN_R22
ENTER, PIN_R21
B[3], PIN_V12
B[2], PIN_M22
B[1], PIN_L21
B[0], PIN_L22
NUM[3], PIN_Y19
NUM[2], PIN_U19
NUM[1], PIN_R19
NUM[0], PIN_R20
