To,Location
RES, PIN_R22
CKIN, PIN_L1
SEG0O[0],PIN_J2
SEG0O[1],PIN_J1
SEG0O[2],PIN_H2
SEG0O[3],PIN_H1
SEG0O[4],PIN_F2
SEG0O[5],PIN_F1
SEG0O[6],PIN_E2
SEG1O[0],PIN_E1
SEG1O[1],PIN_H6
SEG1O[2],PIN_H5
SEG1O[3],PIN_H4
SEG1O[4],PIN_G3
SEG1O[5],PIN_D2
SEG1O[6],PIN_D1
